sku,url_key,errors
T45D-ZG8,insider-green-machine-topo-camo,
JS00T49C-0UE,large-accesory-pouch-multi-flower-explosion,
JS00T49C-008,large-accesory-pouch-black,
JS00T49C-01B,large-accesory-pouch-cyber-pink,
JS00T49C-0KN,large-accesory-pouch-multi-stickers,
JS00T49C-0VQ,large-accesory-pouch-navy-sweet-blossom,
T49B-008,medium-accesory-pouch-black,
T49B-9RX,medium-accesory-pouch-fluorecent-pink,
T49B-1U1,medium-accesory-pouch-mammonth-blue-zoot-suit,
T49B-9RW,medium-accesory-pouch-mammoth-blue,
JS00T49B-0J8,medium-accesory-pouch-jansport-navy-watercolor-chevron,
JS00T49B-01H,medium-accesory-pouch-spanish-teal,
JS00T49B-0E2,medium-accesory-pouch-multi-navy-mountain-meadow,
T49B-1W6,medium-accesory-pouch-pink-pansy-confetti-dots,
JS00T54R-008,network-black,
JS00T54R-0N2,network-grey-vanishing-rip,
JS00T54R-0KL,network-multi-concrete-floral,
T54R-0A1,network-multi-grey-floral-flourish,
JS00T54R-0WH,network-multi-grey-floral-haze,
JS00T54R-9RS,network-shady-grey,
JS00T54R-01H,network-spanish-teal,
T54R-2C8,network-vivid-purple,
JS0A2T39-008,node-black,
JS0A2T39-0J9,node-high-risk-red-checkers,
JS0A2T39-0P0,node-navy-mooshine-lime-punch,
JS0A2T39-9RS,node-shady-grey,
JS00T08W-0MS,overexposed-algiers-blue-high-risk-red,
JS00T08W-0NT,overexposed-aqua-dash-violeth-purple,
JS00T08W-1J0,overexposed-black-fluorescent-pink,
JS00T08W-0MT,overexposed-black-white,
JS00T08W-0EL,overexposed-cyber-pink-rocksteady,
JS00T08W-0CS,overexposed-fluorescent-pink-violet-purple,
JS00T08W-0CU,overexposed-mammoth-blue-fluorescent-red,
JS00T08W-0GJ,overexposed-mammoth-blue/navy-moonshine,
JS00T08W-0XJ,overexposed-multi-cali-poppy,
JS00T08W-0FZ,overexposed-multi-marble-prism,
JS00T08W-0MV,overexposed-multi-red-galaxy,
JS00T08W-0UG,overexposed-multi-speckled-space,
JS00T08W-0D9,overexposed-multi-watercolor-floral,
JS00T08W-0MU,overexposed-pink-pansy-mammoth-blue,
